"";"X";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"96";15;15;"LOC";3429;"haar";1;1011353,61592768;6
"97";16;16;"LOC";3429;"haar";1;1061438,69634591;6
"98";17;17;"LOC";3429;"haar";1;1000136,78105772;6
"99";18;18;"LOC";3429;"haar";1;1048087,81321032;6
"100";19;19;"LOC";3429;"haar";1;1104503,62064051;6
"101";20;20;"LOC";3429;"haar";1;1163020,94942439;6
"102";21;21;"LOC";3429;"haar";1;1255560,01387827;6
"103";22;22;"LOC";3429;"haar";1;1354393,03579149;6
"104";23;23;"LOC";3429;"haar";1;1410719,04066047;6
"105";24;24;"LOC";3429;"haar";1;1432562,98334489;6
"106";25;25;"LOC";3429;"haar";1;1440124,07615611;6
"107";26;26;"LOC";3429;"haar";1;1360307,98401612;6
"108";27;27;"LOC";3429;"haar";1;1288026,82173645;6
"109";28;28;"LOC";3429;"haar";1;1536504,1446454;6
"110";29;29;"LOC";3429;"haar";1;1658236,81966735;6
"111";30;30;"LOC";3429;"haar";1;1643113,21983134;6
"112";31;31;"LOC";3429;"haar";1;1647391,21585751;6
"113";32;32;"LOC";3429;"haar";1;1476027,42297086;6
"114";33;33;"LOC";3429;"haar";1;1531446,20983957;6
"115";34;34;"LOC";3429;"haar";1;1770896,6075799;6
"116";35;35;"LOC";3429;"haar";1;1763499,56354191;6
"117";36;36;"LOC";3429;"haar";1;1683561,84903555;6
"118";37;37;"LOC";3429;"haar";1;1655733,66166195;6
"119";38;38;"LOC";3429;"haar";1;1755899,57985771;6
"120";39;39;"LOC";3429;"haar";1;1794176,68413691;6
"121";40;40;"LOC";3429;"haar";1;1812971,58238084;6
"122";41;41;"LOC";3429;"haar";1;1816206,59590477;6
"123";42;42;"LOC";3429;"haar";1;1823149,67738924;6
"124";43;43;"LOC";3429;"haar";1;1826145,68882113;6
"125";44;44;"LOC";3429;"haar";1;1829894,0618682;6
"126";45;45;"LOC";3429;"haar";1;1830097,0015144;6
"127";46;46;"LOC";3429;"haar";1;1831456,06074784;6
"128";47;47;"LOC";3429;"haar";1;1831990,63347442;6
"129";48;48;"LOC";3429;"haar";1;1832030,23145416;6
"130";49;49;"LOC";3429;"haar";1;1832030,23145416;6
"131";50;50;"LOC";3429;"haar";1;1832204,17972234;6
"132";51;51;"LOC";3429;"haar";1;1832204,17972234;6
"133";52;1;"LOC";3429;"haar";2;424042;5
"134";53;2;"LOC";3429;"haar";2;448170,5;5
"135";54;3;"LOC";3429;"haar";2;764674;5
"136";55;4;"LOC";3429;"haar";2;896588,5;5
"137";56;5;"LOC";3429;"haar";2;1064929;5
"138";57;6;"LOC";3429;"haar";2;3205269;5
"139";58;7;"LOC";3429;"haar";2;1301634;5
"140";59;8;"LOC";3429;"haar";2;1457754;5
"141";60;9;"LOC";3429;"haar";2;1522112;5
"142";61;10;"LOC";3429;"haar";2;1710195;5
"143";62;11;"LOC";3429;"haar";2;1955229,5;5
"144";63;12;"LOC";3429;"haar";2;2031296,5;5
"145";64;13;"LOC";3429;"haar";2;1872655,5;5
"146";65;14;"LOC";3429;"haar";2;2259023;5
"147";66;15;"LOC";3429;"haar";2;2326738;5
"148";67;16;"LOC";3429;"haar";2;2126605;5
"149";68;17;"LOC";3429;"haar";2;2499195,5;5
"150";69;18;"LOC";3429;"haar";2;2361238,5;5
"151";70;19;"LOC";3429;"haar";2;2510283;5
"152";71;20;"LOC";3429;"haar";2;2566216,5;5
"153";72;21;"LOC";3429;"haar";2;2580441,5;5
"154";73;22;"LOC";3429;"haar";2;2588004,5;5
"155";74;23;"LOC";3429;"haar";2;2590448;5
"156";75;24;"LOC";3429;"haar";2;2590882;5
"157";76;25;"LOC";3429;"haar";2;2591128;5
"158";77;1;"LOC";3429;"haar";3;857610,570474807;4
"159";78;2;"LOC";3429;"haar";3;1387002,32566608;4
"160";79;3;"LOC";3429;"haar";3;3186861,67344999;4
"161";80;4;"LOC";3429;"haar";3;2107083,45562723;4
"162";81;5;"LOC";3429;"haar";3;2591846,51987731;4
"163";82;6;"LOC";3429;"haar";3;2760510,93262678;4
"164";83;7;"LOC";3429;"haar";3;3242622,7000008;4
"165";84;8;"LOC";3429;"haar";3;3270934,90196612;4
"166";85;9;"LOC";3429;"haar";3;3444685,88734606;4
"167";86;10;"LOC";3429;"haar";3;3639236,77224799;4
"168";87;11;"LOC";3429;"haar";3;3661718,87880243;4
"169";88;12;"LOC";3429;"haar";3;3664234,4111765;4
"170";89;1;"LOC";3429;"haar";4;1587181;3
"171";90;2;"LOC";3429;"haar";4;3743384,5;3
"172";91;3;"LOC";3429;"haar";4;3784688,25;3
"173";92;4;"LOC";3429;"haar";4;4605780,75;3
"174";93;5;"LOC";3429;"haar";4;5009089,75;3
"175";94;6;"LOC";3429;"haar";4;5180231,25;3
"176";95;1;"LOC";3429;"haar";5;3769279,01260906;2
"177";96;2;"LOC";3429;"haar";5;5932957,52723551;2
"178";97;3;"LOC";3429;"haar";5;7204937,97478649;2
"179";1;1;"LOC";346391;"haar";1;193,747258045114;5
"180";2;2;"LOC";346391;"haar";1;1445,3262607453;5
"181";3;3;"LOC";346391;"haar";1;1445,3262607453;5
