;pid;max.revlevel;dead.count;deads
11202;13079;5;8;11389|12053|41745|155830|322065|307140|325178|360279
11495;13079;4;9;12053|12547|15700|41745|155830|322065|307140|325178|360279
11716;13079;4;5;12053|12547|41745|155830|317799
11730;13079;5;5;12053|12547|41745|155830|317799
11743;13079;5;5;12053|12547|41745|155830|317799
11744;13079;5;5;12053|12547|41745|155830|317799
11749;13079;5;5;12053|12547|41745|155830|317799
11758;13079;4;9;12053|12547|15700|41745|155830|322065|307140|325178|360279
12235;13079;4;9;12053|12547|15700|41745|155830|322065|307140|325178|360279
12335;13079;4;9;12053|12547|15700|41745|155830|322065|307140|325178|360279
12607;13079;4;5;12053|12547|41745|155830|317799
12621;13079;5;5;12053|12547|41745|155830|317799
12634;13079;5;5;12053|12547|41745|155830|317799
12635;13079;5;5;12053|12547|41745|155830|317799
12640;13079;5;5;12053|12547|41745|155830|317799
12773;13079;4;9;12053|12547|15700|41745|155830|322065|307140|325178|360279
12921;13079;5;9;12053|12547|15700|41745|155830|322065|307140|325178|360279
12961;13079;5;7;12053|41745|155830|322065|307140|325178|360279
12962;13079;5;7;12053|41745|155830|322065|307140|325178|360279
13233;13079;5;7;12053|41745|155830|322065|307140|325178|360279
13305;13079;6;2;12053|317799
13308;13079;6;1;12053
13891;13079;4;8;12547|15700|41745|155830|322065|307140|325178|360279
14011;13079;4;8;12547|15700|41745|155830|322065|307140|325178|360279
14595;13079;4;8;12547|15700|41745|155830|322065|307140|325178|360279
14772;13079;5;4;12547|41745|155830|317799
14780;13079;5;4;12547|41745|155830|317799
107;13137;6;18;589515|586805|587198|587571|588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
177;13137;6;5;589515|4007|12053|155830|322065
228;13137;6;18;589515|586805|587198|587571|588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
276;13137;6;6;589515|12053|41745|155830|307140|360279
313;13137;6;18;589515|586805|587198|587571|588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
666;13137;6;16;587198|587571|588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
667;13137;6;16;587198|587571|588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
777;13137;6;16;587198|587571|588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
878;13137;6;16;587198|587571|588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
966;13137;6;16;587198|587571|588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
1500;13137;6;14;587571|588411|3085|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
1550;13137;6;14;587571|588411|3085|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
1658;13137;6;15;587571|588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
1659;13137;6;15;587571|588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
1785;13137;6;14;587571|588411|3085|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
1844;13137;6;14;587571|588411|3085|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
1845;13137;6;14;587571|588411|3085|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
1956;13137;6;14;587571|588411|3085|4007|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
1957;13137;6;14;587571|588411|3085|4007|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
2129;13137;6;15;587571|588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
2130;13137;6;15;587571|588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
2285;13137;6;15;587571|588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
2382;13137;6;14;587571|588411|3085|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
2475;13137;6;14;587571|588411|3085|4007|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
2995;13137;6;14;588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
2996;13137;6;14;588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
3199;13137;6;14;588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
3200;13137;6;14;588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
3395;13137;6;14;588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
3396;13137;6;14;588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
3566;13137;6;14;588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
3567;13137;6;14;588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
3686;13137;6;14;588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
3922;13137;6;14;588411|3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
4395;13137;6;12;3085|4007|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
4474;13137;6;12;3085|4007|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
4475;13137;6;12;3085|4007|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
4548;13137;6;10;3085|11389|12053|12547|15700|41745|322065|307140|325178|360279
4697;13137;6;13;3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
4774;13137;6;13;3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
4871;13137;6;12;3085|4007|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
5022;13137;6;13;3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
5023;13137;6;13;3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
5166;13137;6;13;3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
5415;13137;6;7;3085|12053|41745|155830|307140|325178|360279
5481;13137;6;7;3085|4007|12053|41745|155830|307140|325178
5856;13137;6;13;3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
5935;13137;6;13;3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
5936;13137;6;13;3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
6017;13137;6;11;3085|4007|11389|12053|12547|15700|41745|155830|322065|307140|325178
6125;13137;6;13;3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
6126;13137;6;13;3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
6225;13137;6;13;3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
6342;13137;5;12;3085|4007|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
6343;13137;6;12;3085|4007|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
6344;13137;6;12;3085|4007|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
6480;13137;6;12;3085|4007|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
6481;13137;6;12;3085|4007|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
6622;13137;6;13;3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
6623;13137;6;13;3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
6790;13137;6;13;3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
6881;13137;6;5;3085|12053|155830|325178|360279
6932;13137;6;12;3085|4007|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
7053;13137;6;9;3085|4007|12053|12547|15700|41745|155830|307140|325178
7293;13137;6;12;3085|4007|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
7734;13137;6;10;3085|4007|11389|12547|15700|155830|322065|307140|325178|360279
7767;13137;6;8;3085|11389|12053|12547|15700|41745|325178|360279
7843;13137;6;7;3085|4007|12053|41745|155830|307140|325178
8325;13137;6;6;4007|12053|41745|155830|307140|325178
8418;13137;6;6;4007|12053|41745|155830|307140|325178
8491;13137;6;7;4007|12053|12547|41745|155830|307140|325178
8579;13137;6;12;4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
8653;13137;6;12;4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
8654;13137;6;12;4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
8731;13137;6;11;4007|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
8732;13137;6;11;4007|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
8927;13137;6;10;4007|12053|12547|15700|41745|155830|322065|307140|325178|360279
9037;13137;6;12;4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
9087;13137;6;11;4007|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
9247;13137;6;11;4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
9289;13137;6;11;4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
9354;13137;6;11;4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
9396;13137;6;11;4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
9607;13137;6;11;4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
9652;13137;6;11;4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
9876;13137;6;3;11389|12547|322065
9886;13137;6;10;11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
9887;13137;6;10;11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
9965;13137;6;10;11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
10065;13137;6;10;11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
10112;13137;6;10;11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
10171;13137;6;7;11389|12547|15700|322065|307140|325178|360279
10181;13137;6;8;11389|12053|12547|15700|41745|155830|307140|325178
10253;13137;6;5;11389|12547|15700|322065|307140
10265;13137;6;10;11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
10306;13137;6;10;11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
10307;13137;6;10;11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
10338;13137;6;10;11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
10339;13137;6;10;11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
10427;13137;6;10;11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
10428;13137;6;10;11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
10506;13137;6;10;11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
10605;13137;6;10;11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
10640;13137;6;10;11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
10698;13137;6;10;11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
10699;13137;6;10;11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
10818;13137;6;10;11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
11104;13137;6;6;11389|12547|15700|155830|322065|360279
11352;13137;6;9;12053|12547|15700|41745|155830|322065|307140|325178|360279
11353;13137;6;9;12053|12547|15700|41745|155830|322065|307140|325178|360279
11424;13137;6;8;12053|12547|15700|155830|322065|307140|325178|360279
11437;13137;6;5;12053|15700|155830|322065|307140
11438;13137;6;5;12053|15700|155830|322065|307140
11452;13137;6;9;12053|12547|15700|41745|155830|322065|307140|325178|360279
11496;13137;6;9;12053|12547|15700|41745|155830|322065|307140|325178|360279
11497;13137;6;9;12053|12547|15700|41745|155830|322065|307140|325178|360279
11625;13137;6;9;12053|12547|15700|41745|155830|322065|307140|325178|360279
11759;13137;6;9;12053|12547|15700|41745|155830|322065|307140|325178|360279
11929;13137;6;9;12053|12547|15700|41745|155830|322065|307140|325178|360279
11930;13137;6;9;12053|12547|15700|41745|155830|322065|307140|325178|360279
12032;13137;6;9;12053|12547|15700|41745|155830|322065|307140|325178|360279
12081;13137;6;9;12053|12547|15700|41745|155830|322065|307140|325178|360279
12124;13137;6;9;12053|12547|15700|41745|155830|322065|307140|325178|360279
12125;13137;6;9;12053|12547|15700|41745|155830|322065|307140|325178|360279
12154;13137;6;9;12053|12547|15700|41745|155830|322065|307140|325178|360279
12155;13137;6;9;12053|12547|15700|41745|155830|322065|307140|325178|360279
12236;13137;6;9;12053|12547|15700|41745|155830|322065|307140|325178|360279
12237;13137;6;9;12053|12547|15700|41745|155830|322065|307140|325178|360279
12306;13137;6;9;12053|12547|15700|41745|155830|322065|307140|325178|360279
12336;13137;6;9;12053|12547|15700|41745|155830|322065|307140|325178|360279
12337;13137;6;9;12053|12547|15700|41745|155830|322065|307140|325178|360279
12484;13137;6;9;12053|12547|15700|41745|155830|322065|307140|325178|360279
12502;13137;6;9;12053|12547|15700|41745|155830|322065|307140|325178|360279
12566;13137;6;9;12053|12547|15700|41745|155830|322065|307140|325178|360279
12649;13137;6;9;12053|12547|15700|41745|155830|322065|307140|325178|360279
12774;13137;6;9;12053|12547|15700|41745|155830|322065|307140|325178|360279
13179;13137;6;6;12053|41745|155830|307140|325178|360279
13400;13137;6;8;12547|15700|41745|155830|322065|307140|325178|360279
13401;13137;6;8;12547|15700|41745|155830|322065|307140|325178|360279
13496;13137;6;7;12547|15700|41745|155830|322065|307140|325178
13548;13137;6;8;12547|15700|41745|155830|322065|307140|325178|360279
13549;13137;6;8;12547|15700|41745|155830|322065|307140|325178|360279
13630;13137;6;8;12547|15700|41745|155830|322065|307140|325178|360279
13711;13137;6;8;12547|15700|41745|155830|322065|307140|325178|360279
13712;13137;6;8;12547|15700|41745|155830|322065|307140|325178|360279
13818;13137;6;8;12547|15700|41745|155830|322065|307140|325178|360279
13856;13137;6;8;12547|15700|41745|155830|322065|307140|325178|360279
13857;13137;6;8;12547|15700|41745|155830|322065|307140|325178|360279
