"";"pid";"seq.id";"max.loc.diff";"max.ad.diff";"max.lc.diff"
"237";3927;2747;3994;6;135764
"238";3927;2748;3994;6;5745
"239";3927;2749;3994;6;4226
"240";3927;2750;3994;6;4226
"241";3927;2751;2137;4;3029
"242";3927;2752;2137;4;3029
"243";3927;2753;2137;4;3029
"244";3927;2754;3994;6;135764
"245";3927;2755;3994;6;135764
"246";3927;2756;3994;6;135764
"247";3927;2757;3994;6;135764
"248";3927;2758;3994;6;135764
"249";3927;2759;3994;6;5745
"250";3927;2760;3994;6;5745
"251";3927;2761;3994;6;5745
"252";3927;2762;3994;6;4226
"253";3927;2763;3994;6;4226
"254";3927;2764;3994;6;4226
"255";3927;2765;3994;6;4226
"256";3927;2766;3994;6;4226
"257";3927;2767;3994;6;4226
"258";3927;2768;3994;6;4226
"259";3927;2769;3994;6;4226
"260";3927;2770;3994;6;4226
"261";3927;2771;3994;6;4226
"262";3927;2772;3994;6;4226
"263";3927;2773;3994;6;4226
"264";3927;2774;2137;4;3029
"265";3927;2775;2137;4;3029
"266";3927;2776;2137;4;3029
"267";3927;2777;2137;4;3029
"268";3927;2778;2137;4;3029
"269";3927;2779;2137;4;3029
"270";3927;2780;2137;4;3029
"271";3927;2781;2137;4;3029
"272";3927;2782;2137;4;3029
"273";3927;2783;2137;4;3029
"274";3927;2784;2137;4;3029
"275";3927;2785;2137;3;3029
"276";3927;2786;2137;3;3029
"277";3927;2787;0;3;3029
"278";3927;2788;3994;6;135764
"279";3927;2789;3994;6;135764
"280";3927;2790;3994;6;135764
"281";3927;2791;3994;6;135764
"282";3927;2792;3994;6;135764
"283";3927;2793;3994;6;135764
"284";3927;2794;3994;6;5745
"285";3927;2795;3994;6;4226
"286";3927;2796;3994;6;4226
"287";3927;2797;3994;6;4226
"288";3927;2798;3994;6;4226
"289";3927;2799;3994;6;4226
"290";3927;2800;3994;6;4226
"291";3927;2801;3994;6;4226
"292";3927;2802;3994;6;4226
"293";3927;2803;3994;6;4226
"294";3927;2804;2137;4;3029
"295";3927;2805;2137;4;3029
"296";3927;2806;2137;4;3029
"297";3927;2807;2137;4;3029
"298";3927;2808;2137;4;3029
"299";3927;2809;2137;4;3029
"300";3927;2810;2137;4;3029
"301";3927;2811;2137;4;3029
"302";3927;2812;2137;4;3029
"303";3927;2813;2137;4;3029
"304";3927;2814;3994;6;135764
"305";3927;2815;3994;6;135764
"306";3927;2816;3994;6;5745
"307";3927;2817;3994;6;5745
"308";3927;2818;3994;6;5745
"309";3927;2819;3994;6;5745
"310";3927;2820;3994;6;4226
"311";3927;2821;2137;4;3029
"312";3927;2822;3994;6;5745
"313";3927;2823;3994;6;5745
"314";3927;2824;3994;6;4226
"315";3927;2825;3994;6;4226
"316";3927;2826;3994;6;5745
"317";3927;2827;3994;6;4226
"318";3927;2828;3994;6;4226
"319";3927;2829;2137;4;3029
"320";3927;2830;2137;4;3029
"321";3927;2831;2137;4;3029
"322";3927;2832;0;3;3029
"323";3927;2833;41427;6;135764
"324";3927;2834;3994;6;5745
"325";3927;2835;3994;6;5745
"326";3927;2836;3994;6;4226
"327";3927;2837;3994;6;4226
"328";3927;2838;3994;6;4226
"329";3927;2839;3994;6;4226
