"";"seq.id";"seq.type";"pids"
"459";"3266";"AB";"3085|11389|12053|15700|41745|155830|322065|307140|325178|360279"
"460";"3267";"AB";"3085|11389|12053|15700|41745|155830|322065|307140|325178|360279"
"461";"3268";"AB";"3085|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279"
"462";"3271";"AB";"4007|155830|325178"
"463";"3278";"AB";"155830|325178"
"464";"3279";"AB";"155830|325178"
"465";"3294";"AB";"3085|12547|307140"
"466";"3295";"AB";"3085|12547|307140"
"467";"3296";"AB";"3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279"
"468";"3297";"AB";"3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279"
"469";"3298";"AB";"3085|4007|11389|12053|12547|15700|41745|155830|322065|307140|325178"
"470";"3299";"AB";"3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279"
"471";"3300";"AB";"3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279"
"472";"3301";"AB";"3085|4007|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279"
"473";"3302";"AB";"3085|4007|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279"
"474";"3303";"AB";"3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279"
"475";"3304";"AB";"3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279"
"476";"3305";"AB";"3085|12053|155830|325178|360279"
"477";"3310";"AB";"3085|4007|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279"
"478";"3311";"AB";"3085|11389|15700|307140|325178"
"479";"3312";"AB";"3085|4007|11389|12053|12547|15700|41745|155830|307140|325178"
"480";"3314";"AB";"3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279"
"481";"3315";"AB";"3085|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279"
"482";"3316";"AB";"3085|4614|11389|12053|41745|155830|322065|307140|325178|360279"
"483";"3317";"AB";"3085|11389|12053|41745|155830|322065|307140|325178|360279"
"484";"3318";"AB";"3085|4007|4614|12053|12547|41745|155830|317799"
