;pid;max.revlevel;dead.count;deads;year.contributors;year.commits;month.contributors;month.commits;year.contributors.change;year.commits.change;comments
139;149338;6;4;12547|15700|41745|155830;32;2395;14;269;0,77;0,6;
232;264758;4;1;15700|41745;NA;NA;0;0;NA;NA;
7;292974;6;3;587571|15700|155830;6;458;1;7;0,5;0,5;
27;301544;5;4;3085|4614|15700|325178;4;481;3;45;0;0,57;
272;327153;5;1;325178;7;119;2;16;NA;NA;
258;339052;4;1;322065|41745;5;248;3;48;0,25;3,96;
28;342423;5;4;3085|4614|15700|325178;3;92;1;5;0,5;-0,36;
136;342504;3;4;12547|15700|41745|155830;6;496;4;52;1;0,42;
230;345897;5;1;41745;26;462;7;22;0,18;0,05;
137;347856;4;4;12547|15700|41745|155830;NA;NA;2;13;NA;NA;
215;347925;5;3;15700|41745|325178;2;110;1;1;-0,33;-0,69;
29;349024;4;4;3085|4614|15700|325178;4;13;0;0;1;1,16;
87;349663;5;2;3085|325178;2;269;2;54;1;0,33;
13;350148;5;1;3085;1;6;1;1;-0,66;-0,25;
4;350740;5;3;589515|3085|15700;3;45;1;10;-0,25;-0,26;
240;371810;3;3;41745|322065|325178;2;50;1;6;-0,33;-0,89;
30;373943;5;4;3085|4614|15700|325178;0;0;0;0;-1;-1;
79;377597;4;3;3085|12547|325178;1;85;1;7;-0,75;-0,04;
250;381685;3;3;155830|322065|325178;1;2;0;0;-0,5;-0,93;
71;408980;5;5;3085|12547|15700|322065|325178;3;43;1;1;-0,25;-0,5;
149;428793;6;2;12547|325178;3;1364;3;229;0;0,58;
